tier,champ_name,item_id,zero_item_win_rate,zero_count,one_item_win_rate,one_count,lift_score,cn_champ,cn_item
platinum,Mordekaiser,59,0.1009,5568,0.2963,54,0.1954,莫德凯撒,静止法衣
diamond,KhaZix,59,0.1008,5110,0.2959,98,0.1951,卡兹克,静止法衣
master,Jayce,59,0.0753,4410,0.2647,68,0.1894,杰斯,静止法衣
diamond,Jayce,59,0.0928,5625,0.28,75,0.1872,杰斯,静止法衣
diamond,Fiora,35,0.079,3024,0.2581,62,0.179,菲奥娜,钢铁烈阳之匣
master,Graves,59,0.1093,10883,0.2874,87,0.178,格雷福斯,静止法衣
grandmaster,Fiora,59,0.0715,2280,0.2418,91,0.1703,菲奥娜,静止法衣
grandmaster,Lux,68,0.1637,10165,0.3333,51,0.1696,拉克丝,天神法球
platinum,Ezreal,59,0.1152,8514,0.2833,60,0.1681,伊泽瑞尔,静止法衣
grandmaster,Ezreal,59,0.0968,11402,0.2609,92,0.164,伊泽瑞尔,静止法衣
diamond,Graves,47,0.1153,11229,0.2773,220,0.1619,格雷福斯,救赎
master,Leona,68,0.0758,4618,0.2368,114,0.1611,蕾欧娜,天神法球
platinum,Yasuo,67,0.081,4283,0.241,83,0.1599,亚索,凌风
grandmaster,Graves,59,0.1107,12309,0.2705,122,0.1598,格雷福斯,静止法衣
challenger,Poppy,59,0.1103,7202,0.2674,86,0.1572,波比,静止法衣
master,Kassadin,59,0.1123,14742,0.2692,182,0.157,卡萨丁,静止法衣
platinum,KhaZix,59,0.1161,4746,0.2727,55,0.1566,卡兹克,静止法衣
grandmaster,Rakan,47,0.1411,3644,0.2952,105,0.1542,洛,救赎
grandmaster,Poppy,59,0.1161,6923,0.2703,111,0.1541,波比,静止法衣
grandmaster,Kassadin,39,0.1174,15923,0.2712,59,0.1538,卡萨丁,珠光护手
platinum,ChoGath,59,0.1078,4414,0.2609,115,0.153,科加斯,静止法衣
diamond,Vi,69,0.1075,9879,0.2593,54,0.1518,蔚,水银
master,Lux,79,0.1576,10438,0.3091,55,0.1515,拉克丝,伏击之爪
platinum,MissFortune,18,0.1478,3830,0.2991,107,0.1513,厄运小姐,破败王者之刃
platinum,Karma,47,0.1378,11443,0.2872,94,0.1494,卡尔玛,救赎
diamond,Leona,47,0.0683,3264,0.2172,198,0.1489,蕾欧娜,救赎
master,Fiora,59,0.0749,2524,0.2237,76,0.1488,菲奥娜,静止法衣
diamond,WuKong,88,0.1043,8641,0.253,83,0.1487,孙悟空,自然之力
