tier,champ_name,item_count,item_set,combo_count,rnk,current_win_rate,base_naked_wr,total_lift
challenger,Ahri,0,NONE,4256,1,0.1149,0.1149,0.0000
challenger,Ahri,1,46,165,2,0.1939,0.1149,0.0790
challenger,Ahri,1,37,213,3,0.1127,0.1149,-0.0022
challenger,Ahri,1,39,53,1,0.0755,0.1149,-0.0394
challenger,Annie,0,NONE,9995,1,0.1516,0.1516,0.0000
challenger,Annie,1,27,167,1,0.1198,0.1516,-0.0318
challenger,Annie,1,55,69,3,0.0725,0.1516,-0.0791
challenger,Annie,1,69,95,2,0.0421,0.1516,-0.1095
challenger,Ashe,0,NONE,8931,1,0.1282,0.1282,0.0000
challenger,Ashe,1,29,174,1,0.1552,0.1282,0.0270
challenger,Ashe,1,57,198,2,0.1263,0.1282,-0.0020
challenger,Ashe,1,4,189,3,0.0635,0.1282,-0.0647
challenger,AurelionSol,0,NONE,2424,1,0.2129,0.2129,0.0000
challenger,AurelionSol,1,38,79,2,0.2532,0.2129,0.0403
challenger,AurelionSol,1,36,56,1,0.2321,0.2129,0.0193
challenger,AurelionSol,1,46,54,3,0.2037,0.2129,-0.0092
challenger,Blitzcrank,0,NONE,18309,1,0.0998,0.0998,0.0000
challenger,Blitzcrank,1,59,128,1,0.2422,0.0998,0.1424
challenger,Blitzcrank,1,67,2985,2,0.1206,0.0998,0.0208
challenger,Blitzcrank,1,27,140,3,0.1143,0.0998,0.0145
challenger,Blitzcrank,2,58-67,57,1,0.2281,0.0998,0.1283
challenger,Caitlyn,0,NONE,811,1,0.0986,0.0986,0.0000
challenger,ChoGath,0,NONE,5394,1,0.0897,0.0897,0.0000
challenger,ChoGath,1,58,72,2,0.1111,0.0897,0.0214
challenger,ChoGath,1,66,234,3,0.0684,0.0897,-0.0214
challenger,ChoGath,1,6,132,1,0.0455,0.0897,-0.0443
challenger,ChoGath,2,15-36,56,3,0.1250,0.0897,0.0353
challenger,ChoGath,2,36-47,89,1,0.0787,0.0897,-0.0111
challenger,ChoGath,2,36-55,51,2,0.0588,0.0897,-0.0309
challenger,Darius,0,NONE,531,1,0.0490,0.0490,0.0000
challenger,Darius,2,15-36,97,1,0.1237,0.0490,0.0748
challenger,Darius,2,33-36,56,2,0.1071,0.0490,0.0582
challenger,Darius,3,33-36-78,151,1,0.3179,0.0490,0.2689
challenger,Darius,3,33-36-69,179,3,0.2291,0.0490,0.1801
challenger,Darius,3,15-36-39,213,2,0.1784,0.0490,0.1294
challenger,Darius,3,33-33-69,58,4,0.1552,0.0490,0.1062
challenger,Darius,3,15-33-39,95,5,0.1053,0.0490,0.0563
